item_no,condition,advTYPE,region1_text,region2_text,region3_text,region4_text,context_sentence,full_sentence,critical_token
SVadvP_01,FR_Word_order,frequency,John, watches often, television, at home.,Everybody has a hobby.,John watches often television at home.,often
SVadvP_02,FR_Word_order,frequency,Mary, cleans always, her backpack, after school.,It is funny to talk about someone's habits.,Mary cleans always her backpack after school.,always
SVadvP_03,FR_Word_order,frequency,Tom, bought sometimes, flower seeds, before dinner.,Some people just like to do gardening themselves.,Tom bought sometimes flower seeds before dinner.,sometimes
SVadvP_04,FR_Word_order,frequency,Jimmy, sells usually, blue berries, in the garage.,Garage sales are interesting.,Jimmy sells usually blue berries in the garage.,usually
SVadvP_05,FR_Word_order,frequency,Kevin, reads often, a storybook, on the plane.,It is boring to spend several hours on a flight.,Kevin reads often a storybook on the plane.,often
SVadvP_06,FR_Word_order,frequency,The boy, catches always, big fish, in that river.,There is a river nearby their house.,The boy catches always big fish in that river.,always
SVadvP_07,FR_Word_order,frequency,That girl, heard sometimes, loud music, during sleeping.,It is a big house with six bedrooms.,That girl heard sometimes loud music during sleeping.,sometimes
SVadvP_08,FR_Word_order,frequency,The dog, catches usually, a frisbee, in the yard.,Nobody knows how big their yard is.,The dog catches usually a frisbee in the yard.,usually
SVadvP_09,FR_Word_order,frequency,Lisa, changed suddenly, her path, after hanging up the phone.,There was a storm coming.,Lisa changed suddenly her path after hanging up the phone.,suddenly
SVadvP_10,FR_Word_order,frequency,Linda, cooks always, sweet food, for the holidays.,Many people like to cook at home.,Linda cooks always sweet food for the holidays.,always
SVadvP_11,FR_Word_order,frequency,The man, transferred sometimes, some money, with a mobile phone.,There are many ways to pay a bill.,The man transferred sometimes some money with a mobile phone.,sometimes
SVadvP_12,FR_Word_order,frequency,The girl, drops usually, three coins, for the beggar.,There is always a beggar sitting beside the gate.,The girl drops usually three coins for the beggar.,usually
SVadvP_13,FR_Word_order,frequency,That driver, drinks often, some wine, after coming home.,It is exhausting to drive for a whole day.,That driver drinks often some wine after coming home.,often
