item_no,condition,advTYPE,context_sentence,region1_text,region2_text,region3_text,region4_text,full_sentence,critical_token,source
33,EN_Word_order,frequency,My neighbor has a specific routine for his mornings.,My neighbor,usually drinks,black coffee,before going to work.,My neighbor usually drinks black coffee before going to work.,usually,generated
33,FR_Word_order,frequency,My neighbor has a specific routine for his mornings.,My neighbor,drinks usually,black coffee,before going to work.,My neighbor drinks usually black coffee before going to work.,usually,generated
34,EN_Word_order,frequency,The local library has many old books.,Sarah,sometimes borrows,a mystery novel,from the top shelf.,Sarah sometimes borrows a mystery novel from the top shelf.,sometimes,generated
34,FR_Word_order,frequency,The local library has many old books.,Sarah,borrows sometimes,a mystery novel,from the top shelf.,Sarah borrows sometimes a mystery novel from the top shelf.,sometimes,generated
35,EN_Word_order,frequency,Her brother is very particular about his diet.,Her brother,rarely eats,fast food,during the week.,Her brother rarely eats fast food during the week.,rarely,generated
35,FR_Word_order,frequency,Her brother is very particular about his diet.,Her brother,eats rarely,fast food,during the week.,Her brother eats rarely fast food during the week.,rarely,generated
36,EN_Word_order,frequency,The company has clients all over the world.,The manager,frequently contacts,the overseas team,via video call.,The manager frequently contacts the overseas team via video call.,frequently,generated
36,FR_Word_order,frequency,The company has clients all over the world.,The manager,contacts frequently,the overseas team,via video call.,The manager contacts frequently the overseas team via video call.,frequently,generated
37,EN_Word_order,frequency,David is committed to staying in shape.,David,regularly visits,the local gym,after his classes.,David regularly visits the local gym after his classes.,regularly,generated
37,FR_Word_order,frequency,David is committed to staying in shape.,David,visits regularly,the local gym,after his classes.,David visits regularly the local gym after his classes.,regularly,generated
38,EN_Word_order,frequency,Emily enjoys trying new types of cuisine.,Emily,occasionally orders,sushi for dinner,on the weekend.,Emily occasionally orders sushi for dinner on the weekend.,occasionally,generated
38,FR_Word_order,frequency,Emily enjoys trying new types of cuisine.,Emily,orders occasionally,sushi for dinner,on the weekend.,Emily orders occasionally sushi for dinner on the weekend.,occasionally,generated
39,EN_Word_order,frequency,The little girl is very curious about the world.,The little girl,constantly asks,her parents questions,about the animals.,The little girl constantly asks her parents questions about the animals.,constantly,generated
39,FR_Word_order,frequency,The little girl is very curious about the world.,The little girl,asks constantly,her parents questions,about the animals.,The little girl asks constantly her parents questions about the animals.,constantly,generated
40,EN_Word_order,frequency,The professor has strong opinions on modern literature.,The professor,generally prefers,classic novels,over contemporary books.,The professor generally prefers classic novels over contemporary books.,generally,generated
40,FR_Word_order,frequency,The professor has strong opinions on modern literature.,The professor,prefers generally,classic novels,over contemporary books.,The professor prefers generally classic novels over contemporary books.,generally,generated
41,EN_Word_order,frequency,Jessica has a favorite pen for taking notes.,Jessica,always uses,a blue pen,for her journal.,Jessica always uses a blue pen for her journal.,always,generated
41,FR_Word_order,frequency,Jessica has a favorite pen for taking notes.,Jessica,uses always,a blue pen,for her journal.,Jessica uses always a blue pen for her journal.,always,generated
