participant,group,condition,item_no,advTYPE,context_sentence,region1_text,region2_text,region3_text,region4_text,full_sentence,critical_token,R1_rt,R2_rt,R3_rt,R4_rt,R2_rt_resid,R3_rt_resid
7135913,Monolinguals,EN_Word_order,SadvPV_16,frequency,Some people like to save money for the future.,John, usually saves, ten dollars, every day.,John usually saves ten dollars every day.,usually,931.0,1030.0,1641.0,1204.0,-267.924847005904,514.1609942958794
7135913,Monolinguals,FR_Word_order,SVadvP_23,manner,It was a beautiful morning.,That lady, peeled slowly, a banana, before making coffee.,That lady peeled slowly a banana before making coffee.,slowly,755.0,1899.0,915.0,1241.0,601.075152994096,-181.54849546121386
7135913,Monolinguals,EN_Word_order,SadvPV_12,frequency,There is always a beggar sitting beside the gate.,The girl, usually drops, three coins, for the beggar.,The girl usually drops three coins for the beggar.,usually,651.0,947.0,734.0,950.0,-350.924847005904,-392.8390057041206
7135913,Monolinguals,EN_Word_order,SadvPV_13,frequency,It is exhausting to drive for a whole day.,That driver, often drinks, some wine, after coming home.,That driver often drinks some wine after coming home.,often,831.0,1244.0,941.0,1925.0,-34.999712839935455,-165.6453322088496
7135913,Monolinguals,EN_Word_order,SadvPV_28,manner,"Again, it was the reading time.",Linda, slowly opened, that book, on the table. ,Linda slowly opened that book on the table.,slowly,823.0,1133.0,787.0,1032.0,-164.92484700590398,-319.6453322088496
7135913,Monolinguals,EN_Word_order,SadvPV_31,manner,Everybody was watching the show.,The policeman, suddenly entered, the hall, through a window.,The policeman suddenly entered the hall through a window.,suddenly,578.0,767.0,1137.0,1308.0,-587.7002495038096,40.45150453878614
7135913,Monolinguals,EN_Word_order,SadvPV_25,manner,The meeting was already over.,Mary, carefully held, the paper, after finishing talking.,Mary carefully held the paper after finishing talking.,carefully,618.0,934.0,1100.0,1807.0,-382.8499811718725,-6.645332208849595
7135913,Monolinguals,EN_Word_order,SadvPV_09,frequency,There was a storm coming.,Lisa, suddenly changed, her path, after hanging up the phone.,Lisa suddenly changed her path after hanging up the phone.,suddenly,606.0,741.0,1557.0,1351.0,-613.7002495038096,460.45150453878614
7135913,Monolinguals,FR_Word_order,SVadvP_18,manner,It's not easy to run away from a wild animal.,Winston, moved slowly, his feet, after seeing the wolf.,Winston moved slowly his feet after seeing the wolf.,slowly,692.0,952.0,1359.0,1477.0,-326.99971283993546,262.45150453878614
7135913,Monolinguals,EN_Word_order,SadvPV_26,manner,Nobody wanted to say a word.,The manager, suddenly shredded, the script paper, after the speech.,The manager suddenly shredded the script paper after the speech.,suddenly,547.0,1673.0,1110.0,1196.0,299.3746163302219,-67.3231894422986
7135913,Monolinguals,FR_Word_order,SVadvP_03,frequency,Some people just like to do gardening themselves.,Tom, bought sometimes, flower seeds, before dinner.,Tom bought sometimes flower seeds before dinner.,sometimes,477.0,1622.0,1120.0,1030.0,267.2997504961904,-16.935842451756344
7135913,Monolinguals,EN_Word_order,SadvPV_27,manner,A storm was just on the way.,Michael,quickly closed,the window,in the corner.,Michael quickly closed the window in the corner.,quickly,463.0,908.0,905.0,1053.0,-389.924847005904,-201.6453322088496
7135913,Monolinguals,FR_Word_order,SVadvP_19,manner,Everybody was sleeping.,The man, checked quietly, the door, before he closed it.,The man checked quietly the door before he closed it.,quietly,551.0,2069.0,981.0,1076.0,733.224884662159,-115.54849546121386
