item_no,condition,advTYPE,region1_text,region2_text,region3_text,region4_text,context_sentence,full_sentence,critical_token,source
33,EN_Word_order,frequency,My neighbor,usually drinks,black coffee,before going to work.,My neighbor has a specific routine for his mornings.,My neighbor usually drinks black coffee before going to work.,usually,generated
33,FR_Word_order,frequency,My neighbor,drinks usually,black coffee,before going to work.,My neighbor has a specific routine for his mornings.,My neighbor drinks usually black coffee before going to work.,usually,generated
34,EN_Word_order,frequency,Sarah,sometimes borrows,a mystery novel,from the top shelf.,The local library has many old books.,Sarah sometimes borrows a mystery novel from the top shelf.,sometimes,generated
34,FR_Word_order,frequency,Sarah,borrows sometimes,a mystery novel,from the top shelf.,The local library has many old books.,Sarah borrows sometimes a mystery novel from the top shelf.,sometimes,generated
35,EN_Word_order,frequency,Her brother,rarely eats,fast food,during the week.,Her brother is very particular about his diet.,Her brother rarely eats fast food during the week.,rarely,generated
35,FR_Word_order,frequency,Her brother,eats rarely,fast food,during the week.,Her brother is very particular about his diet.,Her brother eats rarely fast food during the week.,rarely,generated
36,EN_Word_order,frequency,The manager,frequently contacts,the overseas team,via video call.,The company has clients all over the world.,The manager frequently contacts the overseas team via video call.,frequently,generated
36,FR_Word_order,frequency,The manager,contacts frequently,the overseas team,via video call.,The company has clients all over the world.,The manager contacts frequently the overseas team via video call.,frequently,generated
37,EN_Word_order,frequency,David,regularly visits,the local gym,after his classes.,David is committed to staying in shape.,David regularly visits the local gym after his classes.,regularly,generated
37,FR_Word_order,frequency,David,visits regularly,the local gym,after his classes.,David is committed to staying in shape.,David visits regularly the local gym after his classes.,regularly,generated
38,EN_Word_order,frequency,Emily,occasionally orders,sushi for dinner,on the weekend.,Emily enjoys trying new types of cuisine.,Emily occasionally orders sushi for dinner on the weekend.,occasionally,generated
38,FR_Word_order,frequency,Emily,orders occasionally,sushi for dinner,on the weekend.,Emily enjoys trying new types of cuisine.,Emily orders occasionally sushi for dinner on the weekend.,occasionally,generated
39,EN_Word_order,frequency,The little girl,constantly asks,her parents questions,about the animals.,The little girl is very curious about the world.,The little girl constantly asks her parents questions about the animals.,constantly,generated
39,FR_Word_order,frequency,The little girl,asks constantly,her parents questions,about the animals.,The little girl is very curious about the world.,The little girl asks constantly her parents questions about the animals.,constantly,generated
40,EN_Word_order,frequency,The professor,generally prefers,classic novels,over contemporary books.,The professor has strong opinions on modern literature.,The professor generally prefers classic novels over contemporary books.,generally,generated
40,FR_Word_order,frequency,The professor,prefers generally,classic novels,over contemporary books.,The professor has strong opinions on modern literature.,The professor prefers generally classic novels over contemporary books.,generally,generated
41,EN_Word_order,frequency,Jessica,always uses,a blue pen,for her journal.,Jessica has a favorite pen for taking notes.,Jessica always uses a blue pen for her journal.,always,generated
41,FR_Word_order,frequency,Jessica,uses always,a blue pen,for her journal.,Jessica has a favorite pen for taking notes.,Jessica uses always a blue pen for her journal.,always,generated
42,EN_Word_order,frequency,Michael,often tells,funny stories,at the dinner table.,Michael loves spending time with his family.,Michael often tells funny stories at the dinner table.,often,generated
42,FR_Word_order,frequency,Michael,tells often,funny stories,at the dinner table.,Michael loves spending time with his family.,Michael tells often funny stories at the dinner table.,often,generated
43,EN_Word_order,manner,Robert,quietly closed,the bedroom door,behind him.,The baby was finally asleep in the next room.,Robert quietly closed the bedroom door behind him.,quietly,generated
43,FR_Word_order,manner,Robert,closed quietly,the bedroom door,behind him.,The baby was finally asleep in the next room.,Robert closed quietly the bedroom door behind him.,quietly,generated
44,EN_Word_order,manner,A security guard,suddenly opened,the main entrance,without a sound.,The movie was reaching its most suspenseful part.,A security guard suddenly opened the main entrance without a sound.,suddenly,generated
44,FR_Word_order,manner,A security guard,opened suddenly,the main entrance,without a sound.,The movie was reaching its most suspenseful part.,A security guard opened suddenly the main entrance without a sound.,suddenly,generated
45,EN_Word_order,manner,Laura,gently placed,the fragile artifact,back in the box.,The priceless vase was on the high shelf.,Laura gently placed the fragile artifact back in the box.,gently,generated
45,FR_Word_order,manner,Laura,placed gently,the fragile artifact,back in the box.,The priceless vase was on the high shelf.,Laura placed gently the fragile artifact back in the box.,gently,generated
46,EN_Word_order,manner,Chris,briefly reviewed,his notes,before the exam.,The lecture was about to end.,Chris briefly reviewed his notes before the exam.,briefly,generated
46,FR_Word_order,manner,Chris,reviewed briefly,his notes,before the exam.,The lecture was about to end.,Chris reviewed briefly his notes before the exam.,briefly,generated
47,EN_Word_order,manner,The young artist,eagerly unwrapped,the new paint set,on the kitchen table.,The package had finally arrived.,The young artist eagerly unwrapped the new paint set on the kitchen table.,eagerly,generated
47,FR_Word_order,manner,The young artist,unwrapped eagerly,the new paint set,on the kitchen table.,The package had finally arrived.,The young artist unwrapped eagerly the new paint set on the kitchen table.,eagerly,generated
48,EN_Word_order,manner,Daniel,firmly stated,his position,to the audience.,There was a disagreement during the debate.,Daniel firmly stated his position to the audience.,firmly,generated
48,FR_Word_order,manner,Daniel,stated firmly,his position,to the audience.,There was a disagreement during the debate.,Daniel stated firmly his position to the audience.,firmly,generated
49,EN_Word_order,manner,The old man,calmly explained,the entire procedure,to the worried crowd.,The situation was getting very tense.,The old man calmly explained the entire procedure to the worried crowd.,calmly,generated
49,FR_Word_order,manner,The old man,explained calmly,the entire procedure,to the worried crowd.,The situation was getting very tense.,The old man explained calmly the entire procedure to the worried crowd.,calmly,generated
50,EN_Word_order,manner,His best friend,proudly displayed,the first-place trophy,on the mantelpiece.,The competition results were announced.,His best friend proudly displayed the first-place trophy on the mantelpiece.,proudly,generated
50,FR_Word_order,manner,His best friend,displayed proudly,the first-place trophy,on the mantelpiece.,The competition results were announced.,His best friend displayed proudly the first-place trophy on the mantelpiece.,proudly,generated
51,EN_Word_order,manner,Amanda,nervously checked,her microphone,for the third time.,It was her turn to give the presentation.,Amanda nervously checked her microphone for the third time.,nervously,generated
51,FR_Word_order,manner,Amanda,checked nervously,her microphone,for the third time.,It was her turn to give the presentation.,Amanda checked nervously her microphone for the third time.,nervously,generated
52,EN_Word_order,manner,That chef,neatly arranged,the clean dishes,in the cupboard.,The kitchen was a complete mess after the party.,That chef neatly arranged the clean dishes in the cupboard.,neatly,generated
52,FR_Word_order,manner,That chef,arranged neatly,the clean dishes,in the cupboard.,The kitchen was a complete mess after the party.,That chef arranged neatly the clean dishes in the cupboard.,neatly,generated
53,EN_Word_order,manner,Arthur,carefully examined,the antique watch,under the bright lamp.,The old timepiece was a family heirloom.,Arthur carefully examined the antique watch under the bright lamp.,carefully,generated
53,FR_Word_order,manner,Arthur,examined carefully,the antique watch,under the bright lamp.,The old timepiece was a family heirloom.,Arthur examined carefully the antique watch under the bright lamp.,carefully,generated
54,EN_Word_order,manner,The doctor,quickly reviewed,the patient's chart,before the appointment.,There was a long line of people in the waiting room.,The doctor quickly reviewed the patient's chart before the appointment.,quickly,generated
54,FR_Word_order,manner,The doctor,reviewed quickly,the patient's chart,before the appointment.,There was a long line of people in the waiting room.,The doctor reviewed quickly the patient's chart before the appointment.,quickly,generated
55,EN_Word_order,manner,Beatrice,slowly stirred,the simmering sauce,with a wooden spoon.,The recipe required constant attention.,Beatrice slowly stirred the simmering sauce with a wooden spoon.,slowly,generated
55,FR_Word_order,manner,Beatrice,stirred slowly,the simmering sauce,with a wooden spoon.,The recipe required constant attention.,Beatrice stirred slowly the simmering sauce with a wooden spoon.,slowly,generated
56,EN_Word_order,manner,The chef,softly placed,the delicate pastry,onto the serving plate.,The dessert was the final course of the meal.,The chef softly placed the delicate pastry onto the serving plate.,softly,generated
56,FR_Word_order,manner,The chef,placed softly,the delicate pastry,onto the serving plate.,The dessert was the final course of the meal.,The chef placed softly the delicate pastry onto the serving plate.,softly,generated
57,EN_Word_order,manner,Clara,sharply criticized,the new policy,during the team meeting.,Many employees were unhappy with the changes.,Clara sharply criticized the new policy during the team meeting.,sharply,generated
57,FR_Word_order,manner,Clara,criticized sharply,the new policy,during the team meeting.,Many employees were unhappy with the changes.,Clara criticized sharply the new policy during the team meeting.,sharply,generated
58,EN_Word_order,manner,That student,loudly played,his electric guitar,in the basement.,The entire house could feel the vibrations.,That student loudly played his electric guitar in the basement.,loudly,generated
58,FR_Word_order,manner,That student,played loudly,his electric guitar,in the basement.,The entire house could feel the vibrations.,That student played loudly his electric guitar in the basement.,loudly,generated
59,EN_Word_order,manner,David,badly burned,the toast,this morning.,He was distracted by a phone call.,David badly burned the toast this morning.,badly,generated
59,FR_Word_order,manner,David,burned badly,the toast,this morning.,He was distracted by a phone call.,David burned badly the toast this morning.,badly,generated
60,EN_Word_order,manner,The old man,patiently awaited,the arrival,of his grandchildren.,He sat on the porch swing with a smile.,The old man patiently awaited the arrival of his grandchildren.,patiently,generated
60,FR_Word_order,manner,The old man,awaited patiently,the arrival,of his grandchildren.,He sat on the porch swing with a smile.,The old man awaited patiently the arrival of his grandchildren.,patiently,generated
61,EN_Word_order,manner,Eleanor,perfectly executed,the complex dance move,on the stage.,The audience was completely mesmerized.,Eleanor perfectly executed the complex dance move on the stage.,perfectly,generated
61,FR_Word_order,manner,Eleanor,executed perfectly,the complex dance move,on the stage.,The audience was completely mesmerized.,Eleanor executed perfectly the complex dance move on the stage.,perfectly,generated
